;title;text;label
0;Sanders back in U.S. Senate
1;Kremlin: Syria peoples' congress being 'actively discussed';MOSCOW (Reuters) - A proposal to convene a congress of all Syria s ethnic groups is a joint initiative which is being promoted by Russia and others and is now being actively discussed
2; Oregon Cop Convicted Of Shattering Biker’s Collarbone With Kick Forgot Dashcam Was On (VIDEO);In a baffling fit of rage
"3; Twitter Erupts With Glee Over #CruzSexScandal Rumors (TWEETS);""The last thing any politician running for the presidency needs is negative or scandalous hashtags about them trending on Twitter. However"
4;MUST WATCH VIDEO: Obama Tries To Trash Trump But Turns Into A Babbling Mess [Video];This is too good to miss! Mr. Teleprompter didn t do so well when he went off script during an appearance in Indiana. ;0
5; AL Cops Kill Suicidal Woman After Her Parents Call For Help (VIDEO);On April 3
6;U.S. judge to mull release of Trump video testimony;SAN DIEGO (Reuters) - U.S. District Judge Gonzalo Curiel said on Wednesday he would take more time to decide whether video excerpts of Republican presidential candidate Donald Trump answering questions under oath about his Trump University seminars should be made public. Curiel is overseeing two class-action lawsuits in San Diego over the real estate seminar venture. A separate fraud case by New York state’s attorney general is pending. Trump has suggested Curiel is biased against him because of his campaign rhetoric about illegal immigration. Curiel was born in Indiana but is of Mexican descent.  On Wednesday
7; Chinese State Media Calls Trump Out After He Gives One China Policy The Middle Finger;Donald Trump has been poking China with a proverbial stick and his provocations haven t gone unnoticed. Now
8; Texas Moving To Ban Jews
9; House Dem Drops SHOCKING Bombshell On National Television About Trump’s Future (VIDEO);Democratic Rep. Maxine Waters (D-CA) got super candid when she made several bombshell statements about the future of Trump s time in the White House on MSNBC.In an interview
10;Jeff Sessions orders review of gun background check system;WASHINGTON (Reuters) - U.S. Attorney General Jeff Sessions on Wednesday ordered a review of a government database used for background checks on gun buyers
11; Trump Can’t Decide Which Lie To Stick To Regarding His Claim That Obama Founded ISIS;After all the backlash Trump received for saying that Obama was literally the founder of ISIS
12;China's Xi tells Britain's May North Korea issue should be peacefully resolved;BEIJING (Reuters) - The North Korean issue should be resolved peacefully through talks
13; Trump Stooge Betsy DeVos Gets Her A** Handed To Her By Joe Biden For Being Soft On College Campus Sexual Assault;Joe Biden once again demonstrated why the American people love him so much.During her confirmation hearing
