Product Name,Price,Category,Date Added,SKU
SMARTPHONE CASE,48,Home,12/6/2025,SKU-6548
COFFEE MUG,308,Clothing,7/16/2025,SKU-8448
desk lamp★,18 USD,Accessories,25/08/2025,SKU-8635
running shoes,$284.02 ,Home,8/15/2025,SKU-5965
smartphone case,288,Home,16-Aug-25,SKU-7189
  backpack  ,303 USD,Home > Clothing,7/12/2025,SKU-5056
  Noise Cancelling Headphones  ,24,Sports,1/23/2025,SKU-6185
coffee mug,"259,64",Sports,4/16/2025,SKU-9779
DESK LAMP,372 USD,Clothing > Sports,3-Aug-25,SKU-5945
Noise Cancelling Headphones,$324.65 ,Beauty,22-Aug-25,SKU-8656
  Water Bottle  ,355,Home,7/8/2025,SKU-5373
SMARTPHONE CASE,413,Home,7/8/2025,
desk lamp,$253.02 ,Home,2/13/2025,SKU-4867
Sunglasses,$481.67 ,Clothing,7/26/2025,SKU-7928
LAPTOP STAND,$135.75 ,Clothing,26/08/2025,SKU-8786
NOISE CANCELLING HEADPHONES,"344,06",Clothing,12/12/2025,SKU-9763
T-Shirt,"51,96",Home,26/08/2025,SKU-2312
Running Shoes,362 USD,Home,12/11/2025,SKU-1853
  Smartphone Case  ,"165,73",Sports,28-Aug-25,SKU-3187
fitness tracker,"488,73",Electronics,6/8/2025,SKU-8027
BLUETOOTH SPEAKER,400,Beauty,28/08/2025,SKU-5717
COFFEE MUG,"377,86",Electronics,12-Aug-25,
RUNNING SHOES,367 USD,,20-Aug-25,
Sunglasses,138,Clothing,6/23/2025,SKU-5266
Gaming Keyboard,318 USD,Sports,6/24/2025,
  BLUETOOTH SPEAKER  ,$88.90 ,Home,4-Aug-25,SKU-3425
USB CABLE,"426,34",,10/6/2025,SKU-9161
FITNESS TRACKER,$206.47 ,Home,20-Aug-25,SKU-1095
Gaming Keyboard,446 USD,Clothing,13/08/2025,SKU-5180
COFFEE MUG,$404.51 ,Clothing,20/08/2025,SKU-2574
SUNGLASSES,51 USD,Sports,17/08/2025,SKU-4673
Bluetooth Speaker😊,158 USD,Accessories,2-Aug-25,SKU-2763
WATER BOTTLE,$134.45 ,Beauty,3/27/2025,SKU-7819
Noise Cancelling Headphones,,Sports,1/8/2025,
Running Shoes,320,,2/27/2025,SKU-1439
Bluetooth Speaker,$102.11 ,Electronics,12/15/2025,SKU-8364
LED MONITOR,370,Home,2/8/2025,SKU-8964
  RUNNING SHOES  ✔️,460,Sports,1/8/2025,SKU-4149
T-SHIRT,341 USD,Beauty,24/08/2025,SKU-3654
noise cancelling headphones,217,Clothing,12-Aug-25,SKU-3598
  SUNGLASSES  ,119 USD,Clothing,28-Aug-25,SKU-9444
Laptop Stand,$435.96 ,Sports > Electronics,2/28/2025,SKU-5786
  Sunglasses  ,$424.17 ,Accessories,6/8/2025,SKU-7101
  Water Bottle  ,475,Sports,1/15/2025,SKU-9476
USB Cable,$206.97 ,Beauty,13-Aug-25,SKU-5986
fitness tracker,334,Beauty,25/08/2025,
Fitness Tracker,266 USD,,9/8/2025,SKU-7926
Laptop Stand,$68.06 ,Home,23-Aug-25,SKU-9737
portable charger,271 USD,Sports,5-Aug-25,SKU-7974
USB CABLE,274,Clothing,16/08/2025,SKU-3668
Bluetooth Speaker,,Accessories,2/20/2025,SKU-2980
  NOISE CANCELLING HEADPHONES  ,410,Electronics,27-Aug-25,
  BACKPACK  ,"236,43",Accessories,5-Aug-25,
Water Bottle😊,448 USD,Sports,18-Aug-25,SKU-1866
SUNGLASSES,,Accessories,26-Aug-25,SKU-6249
Gaming Keyboard,$17.67 ,Sports,3/8/2025,SKU-7672
  Gaming Keyboard  😊,$55.40 ,Electronics,17-Aug-25,SKU-7308
DESK LAMP,124 USD,Sports,4/25/2025,SKU-5990
T-SHIRT,405,,10-Aug-25,
RUNNING SHOES,"113,74",,2/13/2025,SKU-5578
LED Monitor,367 USD,Clothing,5-Aug-25,SKU-1033
Wireless Mouse,$365.62 ,Sports > Beauty,13-Aug-25,SKU-6864
WIRELESS MOUSE,393 USD,Accessories > Sports,8/8/2025,SKU-1602
