Product Name,Category,Price,Description
coffee mug ceramic,Home and Kitchn,$5,Mug for hot coffee ⚡
laptop bag leather,Bagz,45,Durable leather bag
bluetooth speaker,ElectronicDevices,30 usd,Loud sound speaker
Desk Lamp Led,Accesories,15 USD,Bright light!!!!
 WIRELESS EARBUDS ,Electronix,$25,Long battery life 📱
Cell phone cover - blue,Mobile Kases,$12.5,Best cover for your phone
table cloth cotton,HomeDecor,$20, Beautiful tablecloth 📱 
MOBILE CASE RED,Mobile Kases,$10.00,High quality case
Coffee mug ceramic,Home and Kitchn,$5.00,Mug 4 hot coffee
Bluetooth Speaker,Electronic Devizes,30 usd,Loud sound speaker 💡
Gaming Keyboard,Electronix,,
Coffee mug ceramic,Home and Kitchn,$5.00,Mug for hot coffee
 Laptop bag leather ,Bagz,$45.00,Durable leather bag!!!!
MOBILE CASE RED,MobileCases,10 USD,Highqualitycaseeeee
Table Cloth Cotton,Hme Decor,$20, Beautiful tablecloth 
Cell phone cover - blue,Mobile Kases,$12.50,Best cover for your phone!!!!
 Laptop Bag Leather ,Bagz,45 USD,Durable leather bag
COFFEE MUG CERAMIC,Home and Kitchn,5 USD,Mug for hot coffee
wireless earbuds,Electronix,25 USD,Longbatterylifeeeee
CELL PHONE COVER - BLUE,Mobile Kases,$12.50,Best cover 4 ur phone
Laptop bag leather,,$45,Durableleatherbageeee
LAPTOP BAG LEATHER,Bagz,$45,Durable leather bag 📱
Gaming keyboard,Electronix,60 USD,RGB backlit keys 🎒
Gaming Keyboard,Electronix,60,RGB backlit keys
DESK LAMP LED,Accesories,15 usd,Bright light
Mobile Case Red,Mobile Kases,10,High quality case ⚡
Coffee mug ceramic,Home and Kitchn, $5.00 ,Mug 4 hot coffee
phone charger fast,Mob Accessories,8,Charge your phone fast
Cell Phone Cover - Blue,MobileCases,12.5 usd,Best cover for your phone
Cell phone cover - blue,Mobile Kases,12.50,Best cover for your phone 💡
Gaming keyboard,Electronix,60,RGB backlit keys!!!!
Bluetooth Speaker,ElectronicDevices,30 USD,Loud sound speaker 🔊
 Desk lamp led ,Accesories,15.00,Bright light
CELL PHONE COVER - BLUE,Mobile Kases,$12.5,Best cover for your phone
Coffee mug ceramic,Home and Kitchn,5.00,Mugforhotcoffeeeeee
bluetooth speaker;,Electronic Devizes,$30.00, Loudsoundspeakereeee 
bluetooth speaker,Electronic Devizes,30 usd,Loudsoundspeakereeee
 laptop bag leather ,Bagz,45.00,Durableleatherbageeee
Phone charger fast,MobileAccessories, 8.00 ,Charge your phone fast!!!!
gaming keyboard,Electronix,60.00, RGBbacklitkeyseeee 
Gaming Keyboard,Electronix,$60,RGB backlit keys
Laptop bag leather,Bagz,$45,Durable leather bag
Gaming keyboard,Electronix,60,RGB backlit keys!!!!
 Table Cloth Cotton ,Hme Decor,20 usd,Beautifultableclotheeee
PHONE CHARGER FAST,Mob Accessories,8.00,Charge your phone fast 🎒
Coffee Mug Ceramic,Home and Kitchn,5.00,Mug for hot coffee 🔊
wireless earbuds,Electronix,25 usd,
Wireless earbuds,Electronix, 25.00 ,Long battery life!!!!
laptop bag leather,Bagz,45.00,Durable leather bag!!!!
BLUETOOTH SPEAKER,ElectronicDevices,30.00,Loud sound speaker!!!!
Laptop Bag Leather,Bagz,45 usd,Durable leather bag!!!!
TABLE CLOTH COTTON,Hme Decor,20,Beautiful tablecloth
DESK LAMP LED,Accesories,15.00,Bright light
WIRELESS EARBUDS,Electronix,$25.00,Long battery life
 Wireless earbuds ,Electronix,25 USD,Long battery life
Table cloth cotton,Hme Decor,20,Beautiful tablecloth
 LAPTOP BAG LEATHER ,Bagz,$45,
cell phone cover - blue,Mobile Kases,12.50,Best cover for your phone!!!!
MOBILE CASE RED,Mobile Kases,$10,High quality case!!!!
Coffee Mug Ceramic,Home&Kitchen,$5,Mug for hot coffee
Gaming keyboard,Electronix,60,RGBbacklitkeyseeee
coffee mug ceramic,Home and Kitchn,5.00,Mug for hot coffee
Cell Phone Cover - Blue,MobileCases,$12.5,Best cover for your phone!!!!
TABLE CLOTH COTTON,Hme Decor,20 usd,Beautiful tablecloth!!!!
Desk Lamp Led,Accesories,15.00,Bright light
coffee mug ceramic,Home and Kitchn,$5,Mug 4 hot coffee
Wireless earbuds,Electronix,25.00,Long battery life 💡
laptop bag leather,Bagz,$45,Durable leather bag
COFFEE MUG CERAMIC,Home and Kitchn,5,Mugforhotcoffeeeeee
laptop bag leather;,Bagz,45 usd, Durable leather bag!!!! 
Laptop Bag Leather,Bagz,45 usd,Durableleatherbageeee
MOBILE CASE RED,MobileCases,$10,High quality case
LAPTOP BAG LEATHER,Bagz,$45,Durable leather bag
PHONE CHARGER FAST;,MobileAccessories,8.00,Chargeyourphonefasteeee
desk lamp led,Accesories,15 usd,Bright light
CELL PHONE COVER - BLUE,MobileCases,,Best cover for your phone!!!!
