record_id,location,date_time,avg_speed,NO2_level,PM25_level,traffic_volume
0.0,los angeles,2025/08/23,100,168.8,58.43,8736
1.0,Boston,2025-08-13 18:42:35,19,149.16,8.54,5618
2.0,San Francisco,2025-08-07 10:40:54,93,,48.69,8508
3.0,Dallas,2025-07-29 12:47:12,33,76.77,20.14,7841
4.0,Los Angeles,2025/07/29,32,61.91,36.9,4625
5.0,Boston,2025-07-31 14:07:21,96,184.41,22.93,4223
6.0,Houston,2025/07/30,60,131.32,128.89,9789
7.0,new york,2025-08-17 02:41:21,41,82.94,134.02,4729
8.0,seattle,2025-08-10 05:46:46,71,103.84,104.07,4089
9.0,Chicago,2025-07-27 13:30:23,56,51.95,78.29,9208
,miami,2025-08-04 18:40:11,73,med,137.36,3535
11.0,Boston,2025/07/29,116,137.17,54.25,7384
12.0,Chicago,2025-07-28 16:25:07,99,53.12,24.75,9046
13.0,DALLAS,24-08-25,77,102.56,143.3,5408
14.0,phoenix,2025-07-26 05:08:05,48,127.34,117.99,5361
15.0,MIAMI,NULL,26,15.46,105.61,404
16.0,Miami,2025-08-05 06:17:54,83,30.66,83.85,1191
17.0,Miami,2025-08-24 02:30:39,18,111.98,31.83,5176
18.0,boston,2025-08-23 14:47:16,18,,-149.79,4927
19.0,NEW YORK,2025-08-11 18:08:10,107,high,24.17,6271
20.0,Boston,2025-07-31 08:57:02,86,193.25,128.98,1760
21.0,Boston,2025-07-27 22:33:58,68,,22.98,1279
22.0,phoenix,2025-08-08 23:48:24,36,10.38,131.26,2601
23.0,Dallas,2025-07-25 21:30:18,77,28.5,32.82,4520
24.0,Chicago,2025-07-31 07:52:39,88,38.94,24.15,6400
25.0,Ph0enix,2025-07-27 14:32:33,28,136.23,47.63,961
26.0,san francisco,2025-07-26 15:34:36,38,,80.02,9911
27.0,Phoenix,2025/07/28,83,,115.6,164
1086.0,Chicago,2025-08-10 05:02:40,32,125.18,123.92,8414
29.0,Seattle,2025-07-26 18:30:30,49,199.83,47.76,7182
30.0,Houston,2025-08-16 09:11:08,47,147.01,140.74,5939
31.0,Boston,09-08-25,67,121.57,76.85,2043
32.0,Los Angeles,2025-08-02 19:34:45,108,115.22,121.21,2221
33.0,San Francisco,29-07-25,62,,38.97,6997
34.0,Boston,2025-08-05 04:14:44,89,104.28,75.66,177
35.0,MIAMI,2025/08/24,48,132.02,60.09,station
264.0,Houston,2025-08-24 14:46:50,112,163.75,107.23,7623
37.0,Chicago,26-07-25,120,79.17,47.55,2961
38.0,Houston,2025-08-03 23:09:15,116kmh,14.38,97.63,3512
1338.0,boston,2025-08-13 10:29:14,70,high,80.59,307
40.0,Dallas,2025-08-06 00:06:57,115,111.57,72.98,5249
41.0,Chicago,2025-08-05 14:51:50,64,144.04,6.56,9091
42.0,Phoenix,2025-08-21 12:22:39,29,,74.13,5053
43.0,Houston,2025-08-09 06:02:20,82,181.32,98.3,6493
44.0,Miami,2025-08-12 19:34:07,113,45.8,94.07,9084
45.0,Los Angeles,2025/08/14,85,95.08,121.73,6058
46.0,Phoenix,2025-08-15 06:29:24,83,142.91,125.27,6926
47.0,seattle,2025-08-22 17:40:43,19kmh,192.57,47.37,7606
48.0,Chicago,30-07-25,36kmh,86.2,131.89,five thousand
,Miami,13-08-25,28,175.04,36.97,8292
50.0,New York,01-08-25,11,161.04,127.87,9038
51.0,Miami,2025-08-17 17:06:40,66,77.7,62.32,4789
52.0,Los Angeles,2025-08-04 13:05:41,118,42.8,45.69,3676
53.0,Seattle,2025-07-26 08:09:14,98,,119.55,1714
54.0,Houston,2025-07-27 19:26:30,72,25.83,63.9,7062
55.0,miami,2025-08-17 00:43:13,57kmh,,118.0,1439
56.0,Chicago,2025-07-26 03:19:10,86,,110.18,9787
57.0,Chicago,2025-08-18 13:53:22,89,17.64,17.87,374
58.0,Phoenix,11-08-25,46,,46.01,1394
59.0,San Francisco,2025/08/18,58,high,117.14,1326
60.0,dallas,2025-08-21 22:01:42,36,194.55,41.69,1096
61.0,Houston,22-08-25,13,146.15,124.42,7178
62.0,Miami,2025-08-15 19:19:43,32kmh,,109.14,1250
63.0,Seattle,2025-07-30 19:08:18,68,142.02,87.08,4120
64.0,Boston ,2025-08-22 10:02:35,70,99.52,69.92,8467
65.0,New York ,2025-08-07 11:40:06,86,99.65,58.58,5228
66.0,Seattle,30-07-25,51,24.53,146.77,economy
67.0,Seattle,2025-08-06 18:14:13,11,109.46,103.58,4250
68.0,Seattle,2025-08-15 18:29:04,60,133.62,-106.38,director
69.0,san francisco,2025-08-17 23:25:05,57,146.33,111.23,1083
70.0,Dallas,2025-08-02 13:32:24,72,100.17,54.65,2668
71.0,boston,07-08-25,81,125.85,48.69,461
72.0,NEW YORK,2025-08-19 06:40:49,72kmh,157.94,125.2,9217
73.0,SEATTLE,2025-07-29 07:05:34,78,82.65,45.3,8285
74.0,PHOENIX,2025-08-03 06:17:10,54,70.99,16.34,offer
75.0,Phoenix,2025-08-08 05:30:29,87,180.92,75.29,8253
76.0,New York,2025-07-30 06:27:54,98,,103.5,6571
77.0,Phoenix,2025-07-29 03:02:49,34,97.72,71.27,performance
78.0,Phoenix,2025-07-30 20:34:48,14,58.19,127.89,five thousand
79.0,San Francisco,2025-08-24 11:38:14,118,low,64.69,2379
80.0,houston,2025-08-20 05:36:30,13,114.44,26.29,4262
81.0,Seattle,2025-08-09 04:41:32,66,117.67,-89.79,5257
82.0,MIAMI,2025-08-18 09:03:02,99,15.14,130.31,1675
83.0,seattle,07-08-25,52,118.19,82.4,605
84.0,Dallas,2025/08/03,89,93.12,64.18,6228
85.0,Boston,2025-08-05 12:48:14,54,51.69,98.62,4389
86.0,Los Angeles,NULL,69kmh,76.87,34.61,810
87.0,Dallas,2025-08-17 23:43:40,20,58.12,-48.47,1986
88.0,Houston ,2025-08-15 16:33:31,12,166.21,54.09,2831
89.0,Boston,07-08-25,79,143.02,17.29,five thousand
90.0,Seattle,2025-08-16 07:57:19,99,128.37,92.58,1963
91.0,Boston,2025-08-11 23:18:26,64,111.78,39.88,6252
92.0,Houston,2025-08-12 00:57:33,84,59.89,103.08,6062
93.0,PHOENIX,2025/08/14,30,74.25,100.92,4978
94.0,Miami,2025-08-16 02:41:08,75,61.37,100.97,5531
95.0,chicago,2025-08-01 06:36:05,33,43.36,50.07,8758
96.0,Miami,2025-08-17 04:30:04,108,144.56,148.65,2577
97.0,Dallas,2025-08-18 08:54:58,62,168.63,111.66,680
98.0,Phoenix,2025-08-22 04:51:11,13,107.57,25.94,1011
99.0,Phoenix,2025/08/14,64,,46.28,2354
100.0,Chicago,2025-07-27 15:08:42,28,47.08,141.58,1223
101.0,Dallas,2025-08-19 10:45:05,50,90.58,16.72,2811
102.0,New York,29-07-25,46,79.2,128.62,6140
103.0,Los Angeles,2025-08-04 19:56:45,17,13.67,7.86,3956
104.0,Miami,24-08-25,79,142.9,123.11,9428
105.0,Chicago,2025-08-24 13:41:25,34,172.43,148.02,821
106.0,Los Angeles,2025-08-02 13:23:37,69,105.35,125.75,1191
107.0,San Francisco ,2025/08/03,69,46.92,6.36,8920
108.0,Miami,2025-07-29 06:51:58,77,169.57,84.87,9958
109.0,Boston,2025-08-20 03:49:32,86,,21.63,6015
2356.0,DALLAS,2025-08-21 00:39:54,15,117.41,101.41,2119
111.0,Miami,2025-08-02 23:50:08,92,,106.76,9867
112.0,Los Angeles,08-08-25,21,30.99,114.74,7081
113.0,Seattle,2025-07-31 14:02:17,16,high,13.35,2119
114.0,houston,2025-07-25 19:33:40,22,60.11,5.24,800
115.0,Houston,2025-08-09 17:22:04,71,156.19,69.69,1811
116.0,Los Angeles,2025-08-21 02:34:42,101,21.85,64.43,7171
117.0,SEATTLE,2025-07-28 12:20:37,39,35.81,35.59,5081
,SEATTLE,NULL,33,183.23,122.25,five thousand
119.0,New York ,2025-08-05 14:59:58,71,Moderate,119.68,leader
120.0,houston,2025-08-08 18:48:58,120kmh,183.9,146.59,7313
121.0,Houston,2025-08-02 21:19:22,23kmh,62.78,93.12,7381
122.0,Phoenix,2025/08/08,102,61.42,31.01,8216
123.0,New York,2025-07-26 00:34:55,112,high,149.46,6370
124.0,New York,2025-08-20 23:31:21,33kmh,,80.46,time
125.0,Dallas,2025-08-03 02:19:37,40,45.28,106.14,7052
126.0,Seattle,2025-08-16 15:49:04,77,131.28,29.37,977
127.0,Houston,2025-08-11 18:36:05,27,61.73,80.88,2586
767.0,Houston,2025-08-15 04:55:19,65,85.18,6.21,1400
129.0,Houston,2025-07-29 04:22:43,32,185.54,34.86,3455
130.0,boston,2025-07-30 21:57:47,68,88.5,83.48,8379
131.0,Chicago,2025-08-14 03:20:37,56,16.13,23.09,371
132.0,phoenix,2025-08-05 00:26:09,106,63.99,63.73,5759
133.0,Los Angeles,2025-07-31 00:19:50,49,184.95,118.82,3847
273.0,Seattle,2025/07/26,64,,97.1,5894
135.0,HOUSTON,2025-08-13 04:11:05,83,156.34,131.53,9509
136.0,SEATTLE,2025-08-06 21:55:57,27,high,140.81,8197
137.0,New York,2025-08-01 20:29:27,16,high,-10.51,8473
138.0,Seattle,2025-08-03 06:20:38,18,188.65,140.35,5624
139.0,phoenix,2025-08-21 14:12:19,89,86.16,110.68,2409
140.0,Dallas,16-08-25,80,175.13,32.28,6460
141.0,Los Angeles,28-07-25,81,64.51,60.23,1966
142.0,Houston,2025-07-29 21:53:51,62,171.63,25.49,five thousand
143.0,CHICAGO,2025-07-26 05:03:18,89,60.53,80.44,9929
144.0,seattle,NULL,116,56.13,43.78,5199
145.0,Chicago,2025-08-15 18:26:49,113kmh,,49.93,3125
146.0,San Francisco,2025-08-01 10:38:40,59,159.05,94.0,8234
147.0,San Francisco,2025-08-14 02:05:11,110,147.19,-83.72,4749
148.0,Miami,22-08-25,24,39.16,119.87,3506
149.0,New York,2025-08-22 14:28:48,109,,43.98,199
150.0,Dallas,2025-08-17 08:38:33,84,159.5,79.18,2017
151.0,Los Angeles,2025-07-30 19:22:51,57,94.07,18.07,3107
152.0,Miami,NULL,36,198.32,36.38,7435
153.0,Seattle,2025-07-25 21:50:56,45,138.3,105.69,five thousand
,boston,26-07-25,28,,109.42,3047
155.0,houston,2025-07-29 22:49:44,113,109.72,28.81,4612
156.0,Miami,2025-08-10 17:21:58,103kmh,12.92,49.45,484
157.0,Boston,2025/07/28,71,46.35,139.4,officer
158.0,houston,2025-08-08 23:59:47,95,177.15,12.51,3946
159.0,New York ,2025-08-21 08:04:39,24,96.14,25.47,7213
588.0,Los Angeles,2025-08-24 05:12:01,35,Moderate,144.42,7001
,houston,2025-08-15 21:50:45,95kmh,32.78,59.88,1549
162.0,Chicago,2025-08-06 00:35:13,82,,80.47,4586
163.0,Houston,2025-08-12 02:33:19,98,136.76,141.82,6092
2485.0,BOSTON,2025-08-15 12:15:59,83,59.31,110.45,8437
165.0,New York,2025-07-28 20:41:59,98,193.09,84.7,4758
166.0,Dallas,2025-07-30 01:11:34,51,,148.08,2006
167.0,Phoenix,2025-07-29 08:56:11,79,143.8,77.58,5258
168.0,SEATTLE,2025-07-27 01:12:51,117,35.49,27.79,7381
169.0,Chicago,2025-08-09 23:03:13,63,181.93,149.63,2389
170.0,Boston,2025-08-03 03:55:41,71,,60.9,8842
171.0,Miami,2025-08-04 16:29:12,48,97.56,27.22,five thousand
172.0,Los Angeles,2025/08/11,118,179.68,119.61,6599
173.0,Miami,2025/08/01,77,166.43,99.88,2111
174.0,Dallas,2025/08/03,78,,131.19,4609
175.0,New York,2025-08-09 13:52:46,117,176.22,81.57,9764
176.0,PHOENIX,2025/07/28,56,,84.46,4906
177.0,SAN FRANCISCO,2025-08-20 06:29:52,13,143.87,45.31,6030
178.0,Houston,2025-08-03 07:49:43,62kmh,high,31.42,2117
179.0,Phoenix,11-08-25,52,69.92,133.68,five thousand
180.0,Houston,NULL,107,72.77,40.23,6656
181.0,San Francisco ,2025-08-18 03:57:50,30,69.21,-29.82,3116
182.0,San Francisco,2025-08-10 09:46:20,95,low,104.85,5837
183.0,New York,2025-07-31 06:29:32,71,med,35.33,7114
1519.0,phoenix,2025-08-18 03:35:00,41,128.13,78.6,8746
185.0,Chicago,2025/08/15,62,96.52,40.54,1481
186.0,Houston,2025-07-30 03:41:13,54,181.83,98.43,7210
187.0,Los Angeles,2025-08-07 22:20:50,20,low,140.45,6465
188.0,Boston,2025-08-12 12:24:37,45,198.54,5.06,9992
189.0,New York,2025-07-29 19:27:32,70,173.53,78.95,8429
